NOM_ABREV_ORGAO;SGL_UF;NOM_LOCALIDADE;COD_TIPO_AUTOR;UO__Cod_;NOM_ABREV_UNID_ORCA;COD_AUTOR;COD_EMENDA;NOM_AUTOR;SGL_PARTIDO;FUNCPROG;SALDO;UF_AUTOR;Título;200;270;410;420;510
M. da Educação;AP;Amapá;01;26298;FNDE;1132;11320016;Hélio Esteves;PT;12.361.1376.0E01.0084;250000;AP;Apoio ao Desenvolvimento do Ensino Fundamental - Reforma e Ampliação da Escola Veiga Cabral em Amapá - AP - Estado do Amapá;250000;250000;0;0;0
M. da Educação;AP;Amapá;01;26298;FNDE;1135;11350001;Janete Capiberibe;PSB;12.365.1065.09HJ.0006;2400000;AP;Apoio à Reestruturação da Rede Física Pública de Educação Infantil - Em municípios do Estado do Amapá;3300000;3300000;0;0;0
M. da Educação;AP;Amapá;02;26286;Fund. Univ. Fed. do Amapá;2046;20460017;Papaléo Paes;PMDB;12.364.1073.6368.0132;100000;AP;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Estado do Amapá;100000;100000;0;0;0
M. da Educação;AP;Amapá;02;26298;FNDE;2047;20470005;João Capiberibe;PSB;12.365.1065.09HJ.0006;900000;AP;Apoio à Reestruturação da Rede Física Pública de Educação Infantil - Em municípios do Estado do Amapá;3300000;3300000;0;0;0
M. da Educação;AP;Macapá;01;26298;FNDE;1135;11350010;Janete Capiberibe;PSB;12.365.1065.0E04.0004;55000;AP;Apoio ao Desenvolvimento da Educação Infantil - Apoio ao Centro Educacional Infantil Manoel Perpétuo da Rocha - Macapá-AP;55000;55000;0;0;0
M. da Educação;BA;Bahia;01;26101;M. da Educação;1344;13440010;Edson Duarte;PV;12.364.1073.0048.0294;60000;BA;APOIO A ENTIDADES DE ENSINO SUPERIOR NÃO FEDERAIS - Estado da Bahia;4477600;4477600;0;0;0
M. da Educação;BA;Bahia;01;26101;M. da Educação;1367;13670001;Luiz Carreira;PFL;12.363.1062.6380.0060;50000;BA;Fomento ao Desenvolvimento da Educação Profissional - Estado da Bahia;50000;50000;0;0;0
M. da Educação;BA;Bahia;01;26101;M. da Educação;3459;34590007;Luiz Alberto;PT;12.364.1073.0048.0294;150000;BA;APOIO A ENTIDADES DE ENSINO SUPERIOR NÃO FEDERAIS - Estado da Bahia;4477600;4477600;0;0;0
M. da Educação;BA;Bahia;01;26101;M. da Educação;3477;34770019;Jutahy Junior;PSDB;12.364.1073.0048.0338;120000;BA;APOIO A ENTIDADES DE ENSINO SUPERIOR NÃO FEDERAIS - UNEB - CAMPUS IX - Barreiras - BA;120000;120000;0;0;0
M. da Educação;BA;Bahia;01;26232;UFBA;1331;13310014;Alice Portugal;PC DO B;12.364.1073.6368.0082;70000;BA;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Aquisição de Equipamentos de Informática para a Faculdade de Farmácia - Estado da Bahia;70000;70000;69977,69;0;0
